COUNTRY;COUNTRY CODE;STATE;STATE CODE;COUNTY;COUNTY CODE;LOCALITY ID;LOCALITY TYPE;LATITUDE;LONGITUDE
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L7192376 ;P;31.5;-7.4
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7192388 ;P;31.2;-6.1
Morocco;MA;Meknès-Tafilalet       ;MA-06;;;L7192407 ;P;31.2;-4
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7195038 ;P;30.9;-6.8
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7195050 ;P;30;-9.6
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7195065 ;P;31.3;-5.9
Morocco;MA;Rabat-Salé-Zemmour-Zaer;MA-07;;;L7195172 ;P;34;-6.8
Morocco;MA;Rabat-Salé-Zemmour-Zaer;MA-07;;;L7196914 ;H;33.9;-6.8
Morocco;MA;Rabat-Salé-Zemmour-Zaer;MA-07;;;L7196965 ;P;33.7;-6.7
Morocco;MA;Rabat-Salé-Zemmour-Zaer;MA-07;;;L7197024 ;P;33.8;-6.7
Morocco;MA;Rabat-Salé-Zemmour-Zaer;MA-07;;;L7197045 ;P;33.8;-6.8
Morocco;MA;Rabat-Salé-Zemmour-Zaer;MA-07;;;L7197053 ;P;33.8;-6.8
Morocco;MA;Meknès-Tafilalet       ;MA-06;;;L7197263 ;H;32.3;-4.5
Morocco;MA;Meknès-Tafilalet       ;MA-06;;;L7197301 ;P;31.5;-4.4
Morocco;MA;Meknès-Tafilalet       ;MA-06;;;L7198160 ;P;31.3;-4.3
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L7199981 ;P;31.6;-8
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L7199986 ;P;31.5;-7.5
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7199987 ;P;31.4;-6
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7199993 ;H;31.5;-5.5
Morocco;MA;Meknès-Tafilalet       ;MA-06;;;L7200007 ;P;31.6;-4.7
Morocco;MA;Tanger-Tétouan         ;MA-01;;;L7201056 ;P;35.2;-6.1
Morocco;MA;Gharb-Chrarda-Beni Hssen;MA-02;;;L7201117 ;P;34.9;-6.3
Morocco;MA;Meknès-Tafilalet       ;MA-06;;;L7201228 ;P;34.1;-5.5
Morocco;MA;Tanger-Tétouan         ;MA-01;;;L7201295 ;H;35.9;-5.4
Morocco;MA;Meknès-Tafilalet       ;MA-06;;;L7202113 ;P;31.1;-5.2
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7202836 ;P;31.4;-6
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7202942 ;P;31.2;-6.1
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L7207277 ;P;31.1;-9.8
